,0 beds,1 bath,1 bed,1 bedroom,1 guest,1 private bath,1 shared bath,1.5 baths,1.5 private baths,1.5 shared baths,2 baths,2 bedrooms,2 beds,2 guests,2 private baths,2 shared baths,2.5 shared baths,3 bedrooms,3 beds,3 guests,3 shared baths,4 beds,4 guests,5 beds,5 guests,6 beds,6 guests,Boat,Camper/RV,Private room in apartment,Shared half-bath,Studio,free_cancel,lat,long,plus,price,ratings,rental_price_norm,reviews,superhost,entire_place,private_room,no_baths,shared_room,logprice
41,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37.7639089,-122.4977868,0,140,5.0,1.121772356,399,1,1,0,0,0,4.941642422609304
42,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7342968,-122.3879504,0,95,4.5,1.151611442,253,1,1,0,0,0,4.553876891600541
43,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7348498,-122.4340654,0,160,5.0,0.983212642,481,1,1,0,0,0,5.075173815233827
44,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,37.786589,-122.4135585,0,109,4.5,0.829585667,383,0,0,0,0,0,4.6913478822291435
45,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.733,-122.415,0,25,5.0,0.983212642,205,1,0,1,0,0,3.2188758248682006
47,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37.7224843,-122.4277876,0,85,5.0,0.983212642,100,1,1,0,0,0,4.442651256490317
48,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.85536670000001,-122.4795549,0,89,4.5,0.875378323,346,0,1,0,0,0,4.48863636973214
49,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37.773922,-122.5092505,0,125,4.5,1.172587433,96,0,1,0,0,0,4.8283137373023015
50,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.8770149,-122.2750174,0,90,5.0,1.054708273,510,1,1,0,0,0,4.499809670330265
51,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7742153,-122.4677324,0,135,5.0,1.172587433,162,1,1,0,0,0,4.90527477843843
52,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7468727,-122.4283969,0,105,5.0,0.922057288,259,1,0,1,0,0,4.653960350157523
53,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37.78477879999999,-122.468035,0,55,4.5,1.172587433,293,0,1,0,0,0,4.007333185232471
54,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7874494,-122.40925520000002,0,77,4.5,0.829585667,97,0,0,1,0,0,4.343805421853684
55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,37.8400374,-122.21182079999998,0,75,5.0,1.054708273,332,1,1,0,0,0,4.31748811353631
56,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.9283541,-122.3904531,0,30,5.0,0.944805898,185,1,0,1,0,0,3.4011973816621555
57,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37.7473279,-122.489515,0,129,5.0,0.922057288,331,1,1,0,0,0,4.859812404361672
58,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.765,-122.397,0,230,5.0,1.105523349,627,1,1,0,0,0,5.438079308923196
59,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,37.7845695,-122.4145504,0,119,4.5,0.829585667,359,0,0,0,0,0,4.77912349311153
60,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7730133,-122.5010861,0,40,4.5,1.172587433,143,0,0,1,0,0,3.6888794541139363
61,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37.7145248,-122.4065795,0,85,4.5,0.983212642,107,0,1,0,0,0,4.442651256490317
62,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.7433,-122.414,1,100,5.0,1.047322361,23,1,1,0,0,0,4.605170185988092
63,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,37.74800000000001,-122.492,0,45,5.0,0.922057288,249,1,0,1,0,0,3.8066624897703196
64,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.73967310000001,-122.4269439,0,81,5.0,0.983212642,304,1,0,1,0,0,4.394449154672439
